iter	RMSE
0	9568.352791
1	9296.54159
2	9033.022753
3	8775.093811
4	8526.525794
5	8285.283068
6	8049.927795
7	7820.982991
8	7600.305066
9	7384.095765
10	7175.201657
11	6973.005879
12	6777.691769
13	6590.234546
14	6405.171283
15	6225.33075
16	6050.557553
17	5880.903595
18	5716.788368
19	5557.900153
20	5403.416474
21	5252.113894
22	5107.358305
23	4966.272742
24	4829.090549
25	4696.376178
26	4566.161436
27	4441.403029
28	4318.458583
29	4201.688584
30	4086.694048
31	3974.946499
32	3866.621557
33	3762.047606
34	3659.838529
35	3560.626291
36	3463.826308
37	3370.57805
38	3279.324998
39	3192.452506
40	3107.745726
41	3025.158796
42	2944.499934
43	2866.078734
44	2790.244762
45	2716.348907
46	2644.874529
47	2575.524858
48	2508.638982
49	2443.53962
50	2379.736195
51	2318.050985
52	2260.024403
53	2201.798433
54	2146.188877
55	2090.998304
56	2037.065933
57	1985.866623
58	1935.807919
59	1887.815108
60	1840.671776
61	1794.987272
62	1750.282924
63	1707.344798
64	1665.146504
65	1624.396446
66	1584.668799
67	1546.734957
68	1509.807085
69	1474.172034
70	1439.420663
71	1405.865127
72	1373.403062
73	1341.537595
74	1310.753967
75	1281.488339
76	1252.802855
77	1224.79737
78	1198.139313
79	1171.816347
80	1146.285869
81	1122.32632
82	1098.958737
83	1076.17694
84	1054.335343
85	1032.83454
86	1011.968876
87	991.6580049
88	972.320408
89	953.6034783
90	935.2872479
91	917.3398039
92	900.4313847
93	884.0652785
94	868.1268823
95	853.0204319
96	838.4608543
97	823.8687273
98	809.7238495
99	796.1456185
100	783.1788542
101	770.652874
102	758.042799
103	746.3852038
104	734.6394985
105	723.758343
106	713.2992917
107	703.0063297
108	693.3671684
109	683.7700767
110	674.6184258
111	665.7121466
112	657.1459006
113	648.6362346
114	640.8171635
115	632.8236415
116	625.2741945
117	618.0740967
118	611.0984681
119	604.155083
120	597.6109725
121	591.2157051
122	584.9910291
123	579.2054291
124	573.6471788
125	568.2408006
126	562.9531107
127	558.0047394
128	552.6690179
129	548.1621939
130	543.8262182
131	539.6792553
132	535.0987872
133	530.7871432
134	526.630307
135	522.8317361
136	518.9469582
137	515.5237215
138	511.6986485
139	508.0517413
140	504.6822262
141	501.3783334
142	498.5438659
143	495.8607735
144	492.9852996
145	489.8234394
146	486.9053436
147	484.1605176
148	481.2425272
149	478.7621774
150	476.491905
151	474.2059255
152	472.2099924
153	469.6240593
154	467.5807906
155	465.5053708
156	463.7292024
157	461.2236014
158	459.3852017
159	457.2641042
160	455.3588992
161	453.7200693
162	451.7620738
163	449.989988
164	448.5140737
165	446.9560827
166	445.3511972
167	443.5841825
168	442.196044
169	440.5875928
170	439.2472652
171	438.0363676
172	436.7819669
173	435.5982893
174	434.1991971
175	432.9955662
176	431.61131
177	430.6210474
178	429.3514665
179	428.1202886
180	427.1102083
181	426.131302
182	424.9484475
183	423.860713
184	422.8164959
185	421.545647
186	420.6226248
187	419.7201089
188	418.660766
189	417.9400493
190	417.0388497
191	416.1375009
192	415.3807167
193	414.5529382
194	413.4026617
195	412.3870981
196	411.7297936
197	410.9988426
198	410.005846
199	409.1103523
200	408.4531288
201	407.6959655
202	406.8405912
203	405.8400182
204	405.2987051
205	404.5681833
206	403.7960868
207	403.0975674
208	402.2097574
209	401.0830518
210	400.5007703
211	400.0904322
212	399.4574334
213	399.0000307
214	398.5768464
215	398.126303
216	397.5023104
217	396.7177115
218	396.2117207
219	395.5497231
220	394.9604886
221	394.3958646
222	393.6630559
223	392.9977965
224	392.5184868
225	391.9801561
226	391.2232316
227	390.7537367
228	390.1501849
229	389.4027827
230	388.9535181
231	388.6408541
232	388.1582411
233	387.5941134
234	386.754704
235	386.4134312
236	385.9356792
237	385.1311292
238	384.8093068
239	384.3390899
240	383.5919465
241	383.2890793
242	382.7012406
243	382.2090234
244	381.8468139
245	381.280866
246	380.6820728
247	380.273865
248	379.9801725
249	379.6350298
250	379.1473274
251	378.7150388
252	378.2210587
253	377.9010162
254	377.4765357
255	377.1276394
256	376.7725162
257	376.3727783
258	375.8169544
259	375.314789
260	375.0390664
261	374.7417513
262	374.4534614
263	374.0681849
264	373.8796176
265	373.4893533
266	373.1208574
267	372.8964623
268	372.3439812
269	372.1332321
270	371.5315852
271	371.3115629
272	370.8203735
273	370.2808596
274	369.9048504
275	369.4065392
276	369.091091
277	368.7549379
278	368.4788187
279	367.9819293
280	367.617201
281	367.2856481
282	366.972755
283	366.4999356
284	366.0895657
285	365.6134638
286	365.3139137
287	365.0690308
288	364.6824617
289	364.3403407
290	364.0603863
291	363.7602277
292	363.4825252
293	363.1719317
294	362.9555987
295	362.6375165
296	362.4197303
297	362.0709151
298	361.895871
299	361.5994157
300	361.3245295
301	360.8244241
302	360.5129389
303	360.3881029
304	360.1302329
305	359.8393858
306	359.381018
307	358.9403696
308	358.7051978
309	358.1800186
310	357.7916711
311	357.4383344
312	357.0476525
313	356.9315947
314	356.6920131
315	356.3709527
316	356.1039687
317	355.8601884
318	355.4120739
319	355.0863108
320	354.8065545
321	354.552497
322	354.3088451
323	354.0699168
324	353.7829127
325	353.5909956
326	353.4032093
327	353.1144013
328	352.8404571
329	352.5415248
330	352.2131158
331	351.8884111
332	351.7436026
333	351.4074985
334	350.9697286
335	350.5573088
336	350.458295
337	350.1918635
338	350.0764767
339	349.7897693
340	349.5052414
341	349.288425
342	349.0545224
343	348.8314298
344	348.5698973
345	348.4123078
346	348.1831257
347	347.8947737
348	347.7588826
349	347.5963707
350	347.4020568
351	347.2463267
352	347.0364514
353	346.8393909
354	346.567619
355	346.3410217
356	346.1380313
357	345.8734611
358	345.5578015
359	345.3418079
360	345.1913722
361	344.9462632
362	344.6618062
363	344.3250485
364	344.1432264
365	343.9311071
366	343.6559294
367	343.4216292
368	343.1960351
369	343.0746824
370	342.9461433
371	342.7455588
372	342.5151094
373	342.3238666
374	341.9769781
375	341.7495724
376	341.5483551
377	341.3321278
378	341.1481648
379	341.0230191
380	340.8462961
381	340.7548813
382	340.527707
383	340.3184473
384	340.178973
385	339.9288
386	339.7878462
387	339.5339026
388	339.3627397
389	339.1632591
390	338.9759918
391	338.8322967
392	338.6443491
393	338.4893742
394	338.344159
395	338.0439305
396	337.8071027
397	337.7305564
398	337.50624
399	337.4025985
400	337.2283605
401	337.0261253
402	336.8446882
403	336.6807591
404	336.5380343
405	336.2434578
406	336.0814983
407	335.9659953
408	335.8273905
409	335.6650211
410	335.5703816
411	335.4491419
412	335.2184668
413	335.0953839
414	334.9221768
415	334.771471
416	334.6654369
417	334.5879148
418	334.4537539
419	334.2750027
420	334.0979728
421	333.9330855
422	333.7575425
423	333.5933283
424	333.3431397
425	333.1995199
426	333.083079
427	332.9561787
428	332.8128016
429	332.5896042
430	332.3226315
431	332.2271821
432	332.0782451
433	331.9133988
434	331.8093488
435	331.5841209
436	331.4701939
437	331.3132518
438	331.2031645
439	331.1003699
440	330.8712695
441	330.7030848
442	330.4452329
443	330.3304759
444	330.2286703
445	330.1178707
446	330.0205192
447	329.9089595
448	329.7025623
449	329.5266634
450	329.3732393
451	329.1548003
452	329.0234848
453	328.9295074
454	328.7512949
455	328.5377056
456	328.4272406
457	328.2527539
458	328.0906709
459	327.9387497
460	327.8223606
461	327.7387074
462	327.5579012
463	327.3769038
464	327.3107031
465	327.2044005
466	327.0052084
467	326.811246
468	326.6714751
469	326.5785184
470	326.4694718
471	326.3752662
472	326.2773213
473	326.1212311
474	326.0047899
475	325.8641146
476	325.6803738
477	325.529148
478	325.3638274
479	325.2388159
480	325.0797573
481	324.9928369
