iter	Passed	Remaining
0	483	483070
1	603	300938
2	714	237336
3	821	204536
4	924	184016
5	1089	180560
6	1181	167654
7	1262	156557
8	1339	147490
9	1418	140451
10	1524	137052
11	1612	132784
12	1722	130798
13	1826	128603
14	1901	124883
15	1995	122741
16	2108	121903
17	2231	121713
18	2324	120032
19	2418	118530
20	2493	116247
21	2584	114887
22	2672	113514
23	2768	112584
24	2856	111416
25	2930	109796
26	3015	108683
27	3090	107285
28	3166	106038
29	3267	105638
30	3359	104996
31	3471	105005
32	3578	104873
33	3678	104519
34	3750	103396
35	3834	102682
36	3925	102170
37	4005	101408
38	4091	100823
39	4170	100090
40	4257	99583
41	4349	99220
42	4455	99167
43	4544	98733
44	4618	98025
45	4700	97478
46	4794	97222
47	4894	97079
48	5009	97219
49	5092	96754
50	5172	96243
51	5251	95735
52	5334	95319
53	5409	94769
54	5490	94335
55	5579	94061
56	5653	93533
57	5720	92906
58	5805	92591
59	5883	92168
60	5947	91558
61	6030	91238
62	6145	91395
63	6231	91132
64	6307	90726
65	6390	90429
66	6478	90216
67	6556	89860
68	6628	89432
69	6701	89031
70	6776	88663
71	6838	88143
72	6906	87698
73	6976	87302
74	7053	86988
75	7136	86769
76	7231	86684
77	7311	86419
78	7383	86082
79	7471	85927
80	7545	85607
81	7645	85593
82	7718	85278
83	7793	84985
84	7886	84891
85	7954	84541
86	8024	84211
87	8099	83944
88	8173	83664
89	8252	83437
90	8351	83418
91	8433	83236
92	8513	83029
93	8611	82999
94	8697	82858
95	8787	82750
96	8865	82528
97	8945	82339
98	9023	82127
99	9112	82011
100	9225	82114
101	9303	81906
102	9387	81755
103	9490	81764
104	9578	81646
105	9663	81504
106	9742	81310
107	9828	81172
108	9922	81112
109	10012	81012
110	10094	80846
111	10196	80842
112	10291	80780
113	10366	80566
114	10452	80439
115	10565	80513
116	10779	81351
117	10885	81366
118	10966	81191
119	11041	80971
120	11139	80924
121	11232	80836
122	11336	80831
123	11404	80566
124	11476	80338
125	11564	80217
126	11648	80069
127	11745	80018
128	11827	79860
129	11911	79716
130	12001	79613
131	12078	79422
132	12165	79306
133	12250	79167
134	12328	78995
135	12408	78833
136	12501	78752
137	12591	78649
138	12678	78531
139	12763	78404
140	12850	78286
141	12932	78139
142	13010	77971
143	13092	77828
144	13164	77625
145	13237	77429
146	13301	77183
147	13371	76976
148	13441	76772
149	13523	76635
150	13598	76459
151	13679	76316
152	13768	76222
153	13866	76173
154	13963	76122
155	14042	75973
156	14120	75821
157	14204	75699
158	14286	75565
159	14361	75395
160	14430	75199
161	14527	75149
162	14611	75028
163	14691	74889
164	14760	74696
165	14844	74582
166	14937	74506
167	15018	74379
168	15124	74368
169	15213	74277
170	15304	74197
171	15384	74058
172	15463	73921
173	15539	73766
174	15599	73539
175	15666	73346
176	15737	73174
177	15803	72979
178	15893	72896
179	15963	72724
180	16031	72538
181	16104	72381
182	16202	72334
183	16266	72140
184	16344	72003
185	16437	71934
186	16519	71818
187	16586	71637
188	16663	71502
189	16731	71327
190	16791	71124
191	16879	71036
192	16939	70830
